Category,KPI / Anomaly Name,Type,Department,Dashboard,Business Objective,Formula / Detection Logic,Feasibility (Current Data),Status,Data Currently Available,Additional Data Required,Client Requirement / Source System,Priority,Remarks
Energy Audit,Feeder Loss (%),KPI,Finance,Dashboard-1,Identify feeder-level losses,(Feeder input ? Sum downstream) / Feeder input ×100,Partial,Partial,Consumer kWh + FeederCode/Feeder; Feeder meters present (SAT_Category=Feeder),Time alignment + ensure feeder meters available for all feeder codes; confirm mapping completeness,HES/MDM Feeder meter data + feeder master (codes),P0,Feeder readings exist in provided dataset; feasibility depends on code consistency & interval alignment.
Energy Audit,DT (Distribution Transformer) Loss (%),KPI,Finance,Dashboard-1,Identify DT-level losses,(DT energy ? ? consumer energy under DT) / DT energy ×100,Partial,Partial,Consumer kWh + DTR/DTRcode; DT meters present (SAT_Category=DT),Time alignment + ensure DT meters mapped to consumer DTR codes; coverage for all DTRs,HES/MDM DT meter data + DTR master mapping,P0,DT readings exist; mapping must be validated (DTRcode alignment).
Energy Audit,LT Loss (%),KPI,Finance,Dashboard-1,Estimate LT segment losses,(LT input ? LT consumed/billed) / LT input ×100,No,Blocked,Consumer meter energy (partial),LT input metering + network model,LT metering/topology + asset hierarchy,P1,
Energy Audit,Billing Efficiency (%),KPI,Finance,Dashboard-1,Track billing effectiveness,(Billed energy / Total energy supplied) ×100,No,Blocked,None,Billing billed-units + supplied energy (feeder/DT),Billing extracts + supply metering,P0,
Energy Audit,Collection Efficiency (%),KPI,Finance,Dashboard-1,Track collections,(Amount collected / Amount billed) ×100,No,Blocked,None,Billing amounts + payments/collection,CIS/ERP billing + collection,P0,
Energy Audit,AT&C Loss (%),KPI,Finance,Dashboard-1,Track AT&C losses,AT&C = 1 ? (Billing Efficiency × Collection Efficiency),No,Blocked,None,Billing + collection + supply energy,Billing + collection + feeder/DT input energy,P0,
Energy Audit,Top X Best/Worst Feeders/DTs,KPI,Finance,Dashboard-1,Prioritize worst assets,"Rank by loss%, reliability, overload, PQ violations",Partial,Partial,Feeder/DT metering exists; consumer mapping exists,Validated mapping + consistent time windows,Topology master + meter coverage confirmation,P1,Can rank on partial coverage immediately; full ranking after mapping validation.
Loss Analytics,Top High Loss DTs / Feeders,KPI,Finance,Dashboard-1,Target interventions,Rank by loss % and energy gap,Partial,Partial,Loss KPIs possible where Feeder/DT loss is computable,Complete coverage + validated mapping,Validated topology master + complete Feeder/DT meter coverage,P1,Ranking depends on completeness of feeder/DT loss calculations.
Management Summary,Top High-Loss Feeders / DTs,KPI,Finance,Dashboard-1,Executive focus,Rank by loss KPIs,No,Blocked,None,Feeder/DT meters + topology,Feeder/DT meters + topology,P1,
Reliability Indices,SAIDI,KPI,Operation,Dashboard-2,Avg interruption duration,Total customer interruption duration / Total customers served,No,Blocked,None,OMS outage events + customer mapping,OMS/SCADA + customer mapping,P0,
Reliability Indices,SAIFI,KPI,Operation,Dashboard-2,Avg interruption frequency,Total customer interruptions / Total customers served,No,Blocked,None,OMS outage events + customer mapping,OMS/SCADA + customer mapping,P0,
Reliability Indices,CAIDI,KPI,Operation,Dashboard-2,Avg duration per interruption,SAIDI / SAIFI,No,Blocked,None,SAIDI & SAIFI prerequisites,OMS/SCADA + customer mapping,P1,
Reliability Indices,CAIFI,KPI,Operation,Dashboard-2,Interruptions per affected customer,Total customer interruptions / # affected customers,No,Blocked,None,Affected customer list per event,OMS with affected linkage,P1,
Reliability Indices,MAIFI,KPI,Operation,Dashboard-2,Momentary interruption frequency,Momentary customer interruptions / Total customers served,No,Blocked,None,Momentary event classification,OMS/SCADA momentary events,P2,
Reliability Indices,Number of Outages (Frequency),KPI,Operation,Dashboard-2,Outage count trend,Count(outage events) by asset/area,No,Blocked,None,Outage event feed,OMS outage logs,P0,
Reliability Indices,Duration of Outages (Minutes),KPI,Operation,Dashboard-2,Outage duration trend,Sum(outage durations) by asset/area,No,Blocked,None,Outage start/end timestamps,OMS outage logs,P0,
Reliability Indices,DT/Feeder Reliability Trends (Monthly/Yearly),KPI,Operation,Dashboard-2,Reliability trends,Trend(SAIDI/SAIFI/outage minutes) by DT/Feeder,No,Blocked,None,Outage feed + mapping,OMS + feeder/DT mapping,P1,
Loss Analytics,DTs with High Failure Rate,KPI,Operation,Dashboard-2,Asset health,(# failures / DT count) ×100 over period,No,Blocked,None,Asset failure/maintenance history,Provide EAM/ERP maintenance + failure tickets,P1,
Anomaly Detection System,Detection Accuracy,KPI,Operation,Dashboard-2,Model performance,Accuracy/Precision/Recall on labeled outcomes,Partial,Partial,Anomaly flags/scores,Ground-truth labels,Field verification outcomes,P0,
Anomaly Detection System,False Positive Rate,KPI,Operation,Dashboard-2,Noise control,FP/(FP+TP),Partial,Partial,Anomaly flags,Ground-truth labels,Field verification outcomes,P0,
Anomaly Detection System,Field inspection hit-rate,KPI,Operation,Dashboard-2,Operational usefulness,Confirmed / Inspections,No,Blocked,None,Inspection outcomes,Field workflow outcomes,P0,
Anomaly Detection System,MTTI,KPI,Operation,Dashboard-2,Speed to identify,Detection time ? event start time,Partial,Partial,Detection timestamp,Event start timestamps (OMS/events),OMS/events + detection logs,P1,
Anomaly Detection System,MTTR,KPI,Operation,Dashboard-2,Speed to restore,Restore time ? detection time,No,Blocked,None,Closure/restore timestamps,Field/OMS closure timestamps,P1,
Anomaly Detection System,Alert response time,KPI,Operation,Dashboard-2,Response tracking,Alert created ? acknowledged,No,Blocked,None,Acknowledgement timestamps,Ticketing/dispatch system,P1,
Anomaly Detection System,Planned outage suppression rate,KPI,Operation,Dashboard-2,Noise reduction,% alerts muted due to planned outage,No,Blocked,None,Planned outage calendar,Planned outage schedule (OMS),P2,
Anomaly Types (11),Low-voltage pockets,Anomaly,Analytics,Dashboard-2,Voltage quality,Voltage < band for N intervals; cluster by geo,Yes,Ready,Voltage,Voltage bands + geo mapping optional,Voltage band config (+GIS optional),High,
Management Summary,Feeders with Maximum Outages,KPI,Operation,Dashboard-2,Reliability focus,Rank by outage count & minutes,No,Blocked,None,OMS outage logs,OMS outage logs,P1,
Management Summary,Reliability Improvement Trend,KPI,Operation,Dashboard-2,Improvement tracking,Trend SAIDI/SAIFI,No,Blocked,None,OMS outage logs,OMS outage logs,P1,
Management Summary,Consumer Service Reliability Score,KPI,Operation,Dashboard-2,Composite KPI,Weighted composite SAIDI/SAIFI/complaints,No,Blocked,None,OMS + CRM complaints,OMS + CRM,P2,
Management Summary,Composite Reliability Score,KPI,Operation,Dashboard-2,Composite KPI,Weighted composite reliability KPIs,No,Blocked,None,Reliability KPIs from OMS,OMS outage logs,P2,
Management Summary,Composite Efficiency Score,KPI,Operation,Dashboard-2,Composite KPI,Weighted composite loss + billing + collection,No,Blocked,None,Billing + collection + supply energy,Billing + collection + supply energy,P2,
Load Management,% DT Peak Loading,KPI,Technical,Dashboard-3,Overload risk,(Peak Load ÷ DT Capacity) ×100,Partial,Partial,DT meters present; partial DTRRating (capacity) present,Complete DT capacity (DTRRating) for all DTs + interval definition for peak,DT capacity master (kVA) complete and updated,P0,DTRRating available only for a subset in dataset; needs completion.
Load Management,% DT Loading,KPI,Technical,Dashboard-3,Loading level,(Load ÷ DT Capacity) ×100,Partial,Partial,DT meters present; partial DTRRating available,Complete DT capacity + define averaging window,DT capacity master (kVA) + policy thresholds,P1,Requires DT capacity for correct % loading.
Load Management,DT Load (kVA),KPI,Technical,Dashboard-3,DT load monitoring,kVA from DT meter or ? consumer kVA; interval-aligned,Partial,Partial,DT meters present; kVAh import available (proxy),Interval length (15/30 min) + ideally instantaneous kVA register for accuracy,Confirm block interval + provide kVA/kW instantaneous profile (optional),P0,Approx using ?kVAh; best with instantaneous kVA.
Load Management,% Loading Bands,KPI,Technical,Dashboard-3,Classify assets,Banding by % loading thresholds,No,Blocked,Partial consumer load proxy,DT capacity + load + threshold config,Capacity + load + thresholds,P1,
Load Management,Top Overloaded DTs / Feeders,KPI,Technical,Dashboard-3,Prioritize overloads,Rank by % loading/peak,Partial,Partial,Feeder/DT structure available; DT capacity partial,Complete capacities + validated mapping,Capacity master + feeder/DT meter coverage,P1,Feeder overload needs feeder capacity; DT overload needs DT capacity.
Load Management,Load Rise Trend,KPI,Technical,Dashboard-3,Growth hotspots,Trend of peak/avg load over time,Partial,Partial,Consumer time-series (if interval known),Topology + sanctioned load (for compliance),Topology + CIS sanctioned load,P2,Consumer-level possible; asset-level needs topology.
Load Management,Consumers exceeding sanctioned load,KPI,Technical,Dashboard-3,Contract violation,Max Demand > Sanctioned Load,No,Blocked,Partial demand proxy,Sanctioned load + MD profile/register,CIS sanctioned load + MD profile,P0,
Load Management,% Consumers with Load Violation,KPI,Technical,Dashboard-3,Violation prevalence,(# violating / total) ×100,No,Blocked,Partial demand proxy,Sanctioned load + MD profile/register,CIS sanctioned load + MD profile,P1,
Load Management,Load Duration Curve & Asset Loading Spread,KPI,Technical,Dashboard-3,Load distribution,Sort load descending vs hours; spread across assets,Partial,Partial,Time-series energy readings available for consumer/DT/feeder,"Confirm fixed block interval; for asset curves, validated mapping + capacity",Block interval config + mapping validation,P2,Can generate LDC for meters; asset spread needs capacity/mapping.
Management Summary,DT Failure Rate (%),KPI,Technical,Dashboard-3,Asset reliability,(Failures / DT count) ×100,No,Blocked,None,Maintenance/failure records,EAM/ERP maintenance,P1,
Management Summary,Top Overloaded Assets,KPI,Technical,Dashboard-3,Augmentation priorities,Rank by % loading/peak,No,Blocked,None,Capacity + load + mapping,Capacity + load + mapping,P1,
Management Summary,Top Power Quality Issues,KPI,Technical,Dashboard-3,PQ focus,Rank by PQ violation minutes/count,Partial,Partial,Voltage (partial phase),Frequency + consistent per-phase data,Provide frequency + per-phase data,P1,
Power Quality,Voltage Deviation (%),KPI,Operation,Dashboard-4,Voltage quality,(V ? Vnom)/Vnom ×100,Yes,Ready,Voltage,Vnom + tolerance bands,Utility config: Vnom & bands,P0,
Power Quality,Voltage Deviation Index (VDI),KPI,Operation,Dashboard-4,Composite voltage metric,Aggregate |deviation| over time (mean/p95 etc.),Yes,Ready,Voltage time-series,VDI definition,Define VDI method + bands,P1,
Power Quality,Frequency Deviation Index (FDI),KPI,Operation,Dashboard-4,Frequency quality,Aggregate |f ? fnom| over time,No,Blocked,None,Frequency measurement,Provide frequency register (OBIS),P1,
Power Quality,Voltage Fluctuation Index,KPI,Operation,Dashboard-4,Voltage stability,Rolling std-dev/?V metrics,Yes,Partial,Voltage time-series,Window definition; consistent interval,Define window + confirm interval,P2,
Power Quality,Voltage Unbalance Index,KPI,Operation,Dashboard-4,Phase voltage imbalance,Max phase V deviation / avg ×100,Partial,Partial,Vrn/Vyn/Vbn (inconsistent),Consistent per-phase voltages,Ensure per-phase voltages populated,P1,
Power Quality,Voltage Drop (V),KPI,Operation,Dashboard-4,Low voltage magnitude,Vnom ? V (when V < Vnom),Yes,Ready,Voltage,Vnom,Provide Vnom,P1,
Power Quality,Low Power Factor (%) by DT/Feeder,KPI,Operation,Dashboard-4,Low PF pockets,% time PF < threshold aggregated,No,Blocked,kVAh import (partial),PF register or kW/kvar + topology,Provide PF/kW/kvar + topology,P1,
Power Quality,Meter Current Unbalance (%),KPI,Operation,Dashboard-4,Phase current imbalance,Max phase I deviation / avg ×100,Partial,Partial,Ir/Iy/Ib (inconsistent),Consistent per-phase currents,Ensure per-phase currents populated,P1,
Power Quality,% Time beyond voltage tolerance band,KPI,Operation,Dashboard-4,Compliance,(# intervals V outside band / total)×100,Yes,Ready,Voltage + timestamps,Voltage band config,Define voltage bands,P0,
Power Quality,% Time with unacceptable current imbalance (>10%),KPI,Operation,Dashboard-4,Compliance (I unbalance),(# intervals imbalance>10% / total)×100,Partial,Partial,Per-phase current (if present),Consistent currents + threshold,Confirm threshold + ensure currents,P2,
Loss Analytics,Number of Tamper Alerts (Cover Open),KPI,Analytics,Dashboard-5,Tamper monitoring,Count(events of type) per period,No,Blocked,Status byte (insufficient),IS 15959 event logs with timestamps/codes,Provide meter event logs from HES/MDM,P0,Requires IS 15959 event capture.
Loss Analytics,Number of Tamper Alerts (External Magnet),KPI,Analytics,Dashboard-5,Tamper monitoring,Count(events of type) per period,No,Blocked,Status byte (insufficient),IS 15959 event logs with timestamps/codes,Provide meter event logs from HES/MDM,P0,Requires IS 15959 event capture.
Loss Analytics,Number of Tamper Alerts (Neutral Disturbance),KPI,Analytics,Dashboard-5,Tamper monitoring,Count(events of type) per period,No,Blocked,Status byte (insufficient),IS 15959 event logs with timestamps/codes,Provide meter event logs from HES/MDM,P0,Requires IS 15959 event capture.
