Category,KPI Name,Department,Priority,Remarks,Status,Trend
Energy Audit,Feeder Loss (%),Finance,P0,Feeder readings exist in provided dataset; feasibility depends on code consistency & interval alignment.,Good,Stable
Energy Audit,DT (Distribution Transformer) Loss (%),Finance,P0,DT readings exist; mapping must be validated (DTRcode alignment).,Good,Stable
Energy Audit,LT Loss (%),Finance,P1,,Good,Stable
Energy Audit,Billing Efficiency (%),Finance,P0,,Good,Stable
Energy Audit,Collection Efficiency (%),Finance,P0,,Good,Stable
Energy Audit,AT&C Loss (%),Finance,P0,,Good,Stable
Energy Audit,Top X Best/Worst Feeders/DTs,Finance,P1,Can rank on partial coverage immediately; full ranking after mapping validation.,Good,Stable
Loss Analytics,Top High Loss DTs / Feeders,Finance,P1,Ranking depends on completeness of feeder/DT loss calculations.,Good,Stable
Management Summary,Top High-Loss Feeders / DTs,Finance,P1,,Good,Stable
Reliability Indices,SAIDI,Operation,P0,,Good,Stable
Reliability Indices,SAIFI,Operation,P0,,Good,Stable
Reliability Indices,CAIDI,Operation,P1,,Good,Stable
Reliability Indices,CAIFI,Operation,P1,,Good,Stable
Reliability Indices,MAIFI,Operation,P2,,Good,Stable
Reliability Indices,Number of Outages (Frequency),Operation,P0,,Good,Stable
Reliability Indices,Duration of Outages (Minutes),Operation,P0,,Good,Stable
Reliability Indices,DT/Feeder Reliability Trends (Monthly/Yearly),Operation,P1,,Good,Stable
Loss Analytics,DTs with High Failure Rate,Operation,P1,,Good,Stable
Anomaly Detection System,Detection Accuracy,Operation,P0,,Good,Stable
Anomaly Detection System,False Positive Rate,Operation,P0,,Good,Stable
Anomaly Detection System,Field inspection hit-rate,Operation,P0,,Good,Stable
Anomaly Detection System,MTTI,Operation,P1,,Good,Stable
Anomaly Detection System,MTTR,Operation,P1,,Good,Stable
Anomaly Detection System,Alert response time,Operation,P1,,Good,Stable
Anomaly Detection System,Planned outage suppression rate,Operation,P2,,Good,Stable
Anomaly Types (11),Low-voltage pockets,Analytics,High,,Good,Stable
Management Summary,Feeders with Maximum Outages,Operation,P1,,Good,Stable
Management Summary,Reliability Improvement Trend,Operation,P1,,Good,Stable
Management Summary,Consumer Service Reliability Score,Operation,P2,,Good,Stable
Management Summary,Composite Reliability Score,Operation,P2,,Good,Stable
Management Summary,Composite Efficiency Score,Operation,P2,,Good,Stable
Load Management,% DT Peak Loading,Technical,P0,DTRRating available only for a subset in dataset; needs completion.,Good,Stable
Load Management,% DT Loading,Technical,P1,Requires DT capacity for correct % loading.,Good,Stable
Load Management,DT Load (kVA),Technical,P0,Approx using ?kVAh; best with instantaneous kVA.,Good,Stable
Load Management,% Loading Bands,Technical,P1,,Good,Stable
Load Management,Top Overloaded DTs / Feeders,Technical,P1,Feeder overload needs feeder capacity; DT overload needs DT capacity.,Good,Stable
